"coder","category","item","code"
0,"type","8_type4","[{""text"":""Cause/Effect""}]"
0,"type-Comparison","8_type5",false
0,"type-Cause/Effect","8_type5",true
0,"type-Global Pattern","8_type5",false
0,"type","8_type5","[{""text"":""Cause/Effect""}]"
0,"industry","9_industry1","[]"
0,"industry","9_industry2","[]"
0,"industry","9_industry3","[]"
0,"type-Comparison","9_type1",false
0,"type-Cause/Effect","9_type1",false
0,"type-Global Pattern","9_type1",true
0,"type","9_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","9_type2",false
0,"type-Cause/Effect","9_type2",false
0,"type-Global Pattern","9_type2",true
0,"type","9_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","9_type3",false
0,"type-Cause/Effect","9_type3",false
0,"type-Global Pattern","9_type3",true
0,"type","9_type3","[{""text"":""Global Pattern""}]"
0,"industry","10_industry1","[{""text"":""Group Mention""},{""text"":""Oil and gas extraction""},{""text"":""Oil and gas pipeline construction""}]"
0,"industry","10_industry2","[{""text"":""Bookstores and news dealers""}]"
0,"industry","10_industry3","[{""text"":""Electronic shopping and auctions""},{""text"":""International trade, secondary markets, other""}]"
0,"industry","10_industry4","[{""text"":""Group Mention""}]"
0,"industry","10_industry5","[{""text"":""Group Mention""},{""text"":""Nursing care facilities""}]"
0,"type-Comparison","10_type1",false
0,"type-Cause/Effect","10_type1",false
0,"type-Global Pattern","10_type1",true
0,"type","10_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","10_type2",false
0,"type-Cause/Effect","10_type2",true
0,"type-Global Pattern","10_type2",true
0,"type","10_type2","[{""text"":""Cause/Effect""},{""text"":""Global Pattern""}]"
0,"type-Comparison","10_type3",false
0,"type-Cause/Effect","10_type3",false
0,"type-Global Pattern","10_type3",true
0,"type","10_type3","[{""text"":""Global Pattern""}]"
0,"type-Comparison","10_type4",false
0,"type-Cause/Effect","10_type4",false
0,"type-Global Pattern","10_type4",true
0,"type","10_type4","[{""text"":""Global Pattern""}]"
0,"type-Comparison","10_type5",false
0,"type-Cause/Effect","10_type5",false
0,"type-Global Pattern","10_type5",true
0,"type","10_type5","[{""text"":""Global Pattern""}]"
0,"industry","11_industry1","[{""text"":""Group Mention""}]"
0,"industry","11_industry2","[{""text"":""Cemeteries and crematories""}]"
0,"industry","11_industry3","[{""text"":""Group Mention""}]"
0,"type-Comparison","11_type1",false
0,"type-Cause/Effect","11_type1",false
0,"type-Global Pattern","11_type1",true
0,"type","11_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","11_type2",false
0,"type-Cause/Effect","11_type2",false
0,"type-Global Pattern","11_type2",true
0,"type","11_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","11_type3",false
0,"type-Cause/Effect","11_type3",false
0,"type-Global Pattern","11_type3",true
0,"type","11_type3","[{""text"":""Global Pattern""}]"
0,"industry","12_industry1","[{""text"":""Group Mention""}]"
0,"industry","12_industry2","[{""text"":""Group Mention""}]"
0,"industry","12_industry3","[{""text"":""Group Mention""},{""text"":""Nail salons""}]"
0,"type-Comparison","12_type1",false
0,"type-Cause/Effect","12_type1",false
0,"type-Global Pattern","12_type1",true
0,"type","12_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","12_type2",false
0,"type-Cause/Effect","12_type2",false
0,"type-Global Pattern","12_type2",true
0,"type","12_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","12_type3",true
0,"type-Cause/Effect","12_type3",false
0,"type-Global Pattern","12_type3",true
0,"type","12_type3","[{""text"":""Comparison""},{""text"":""Global Pattern""}]"
0,"industry","13_industry1","[{""text"":""Group Mention""}]"
0,"industry","13_industry2","[{""text"":""Vocational rehabilitation services""}]"
0,"industry","13_industry3","[{""text"":""Group Mention""}]"
0,"industry","13_industry4","[]"
0,"industry","13_industry5","[{""text"":""Group Mention""}]"
0,"type-Comparison","13_type1",false
0,"type-Cause/Effect","13_type1",false
0,"type-Global Pattern","13_type1",true
0,"type","13_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","13_type2",false
0,"type-Cause/Effect","13_type2",false
0,"type-Global Pattern","13_type2",true
0,"type","13_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","13_type3",false
0,"type-Cause/Effect","13_type3",false
0,"type-Global Pattern","13_type3",true
0,"type","13_type3","[{""text"":""Global Pattern""}]"
0,"type-Comparison","13_type4",false
0,"type-Cause/Effect","13_type4",false
0,"type-Global Pattern","13_type4",true
0,"type","13_type4","[{""text"":""Global Pattern""}]"
0,"type-Comparison","13_type5",false
0,"type-Cause/Effect","13_type5",false
0,"type-Global Pattern","13_type5",true
0,"type","13_type5","[{""text"":""Global Pattern""}]"
0,"industry","14_industry1","[{""text"":""Florists""}]"
0,"industry","14_industry2","[{""text"":""Group Mention""}]"
0,"industry","14_industry3","[{""text"":""Group Mention""}]"
0,"type-Comparison","14_type1",false
0,"type-Cause/Effect","14_type1",false
0,"type-Global Pattern","14_type1",true
0,"type","14_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","14_type2",false
0,"type-Cause/Effect","14_type2",false
0,"type-Global Pattern","14_type2",true
0,"type","14_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","14_type3",false
0,"type-Cause/Effect","14_type3",false
0,"type-Global Pattern","14_type3",true
0,"type","14_type3","[{""text"":""Global Pattern""}]"
0,"industry","15_industry1","[]"
0,"industry","15_industry2","[]"
0,"industry","15_industry3","[]"
0,"type-Comparison","15_type1",false
0,"type-Cause/Effect","15_type1",false
0,"type-Global Pattern","15_type1",false
0,"type","15_type1","[]"
0,"type-Comparison","15_type2",false
0,"type-Cause/Effect","15_type2",false
0,"type-Global Pattern","15_type2",false
0,"type","15_type2","[]"
0,"type-Comparison","15_type3",false
0,"type-Cause/Effect","15_type3",false
0,"type-Global Pattern","15_type3",false
0,"type","15_type3","[]"
0,"industry","16_industry1","[{""text"":""Group Mention""}]"
0,"industry","16_industry2","[{""text"":""Group Mention""}]"
0,"industry","16_industry3","[{""text"":""Group Mention""}]"
0,"type-Comparison","16_type1",false
0,"type-Cause/Effect","16_type1",false
0,"type-Global Pattern","16_type1",true
0,"type","16_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","16_type2",false
0,"type-Cause/Effect","16_type2",false
0,"type-Global Pattern","16_type2",true
0,"type","16_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","16_type3",false
0,"type-Cause/Effect","16_type3",true
0,"type-Global Pattern","16_type3",false
0,"type","16_type3","[{""text"":""Cause/Effect""}]"
0,"industry","17_industry1","[{""text"":""Group Mention""}]"
0,"industry","17_industry2","[{""text"":""Group Mention""}]"
0,"industry","17_industry3","[{""text"":""Barber shops and beauty salons""},{""text"":""Group Mention""}]"
0,"type-Comparison","17_type1",false
0,"type-Cause/Effect","17_type1",false
0,"type-Global Pattern","17_type1",true
0,"type","17_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","17_type2",false
0,"type-Cause/Effect","17_type2",false
0,"type-Global Pattern","17_type2",true
0,"type","17_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","17_type3",false
0,"type-Cause/Effect","17_type3",false
0,"type-Global Pattern","17_type3",true
0,"type","17_type3","[{""text"":""Global Pattern""}]"
0,"industry","18_industry1","[{""text"":""Group Mention""},{""text"":""Telecommunications resellers, satellite and VoIP""},{""text"":""Wired telecommunications carriers""},{""text"":""Wireless telecommunications carriers""}]"
0,"industry","18_industry2","[{""text"":""Barber shops and beauty salons""},{""text"":""Group Mention""},{""text"":""Nail salons""}]"
0,"industry","18_industry3","[{""text"":""Biotechnology research""},{""text"":""Group Mention""}]"
0,"type-Comparison","18_type1",false
0,"type-Cause/Effect","18_type1",false
0,"type-Global Pattern","18_type1",true
0,"type","18_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","18_type2",false
0,"type-Cause/Effect","18_type2",false
0,"type-Global Pattern","18_type2",true
0,"type","18_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","18_type3",false
0,"type-Cause/Effect","18_type3",false
0,"type-Global Pattern","18_type3",true
0,"type","18_type3","[{""text"":""Global Pattern""}]"
0,"industry","19_industry1","[{""text"":""Services for the elderly and disabled""}]"
